idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
419,1586,27,28,685,0,100,0,0
4802,2903,28,29,15482,0,28,1,0
13827,1007,17,18,798,0,87,1,0
2463,708,1,1,2459,0,137,0,0
12373,423,18,19,6156,0,161,0,1
203,1760,4,4,6235,0,107,1,0
633,1597,24,25,6502,0,70,0,0
5640,889,5,5,6999,1,115,0,1
8588,1730,23,24,24,2,68,2,10
269,261,0,0,260,1,133,1,0
2338,1067,8,8,5618,1,125,0,0
1922,765,18,19,4996,0,125,0,1
5353,2109,5,5,5403,0,96,0,0
7927,2196,6,6,8215,0,92,0,0
161,1478,28,29,6613,1,75,0,0
3786,1505,24,25,5568,0,43,0,0
11241,266,14,15,9048,0,63,1,0
34,1984,21,22,3116,0,11,1,0
10362,1074,12,13,5746,0,146,1,1
2959,676,7,7,2964,0,36,0,0
189,1065,5,5,1929,0,66,1,1
12342,2882,24,25,1134,0,104,0,0
8693,1809,13,14,8495,0,53,0,0
4926,363,3,3,4979,1,104,0,1
4176,1707,27,28,612,0,166,1,0
13420,1287,29,30,15250,1,56,1,1
15510,294,20,21,15608,0,64,0,0
2036,2171,6,6,1364,1,95,0,0
6125,2078,16,17,5807,0,44,0,0
2212,390,25,26,2205,0,57,0,1
13931,809,25,26,1589,1,57,1,0
4662,1128,26,27,3582,0,27,0,1
2384,518,1,1,2907,1,155,1,1
4104,306,20,21,9574,0,25,1,0
1952,543,0,0,1947,0,80,0,0
9789,2144,8,8,10122,1,173,1,1
3012,2611,5,5,7074,0,56,1,0
6159,1816,10,10,4266,0,45,1,0
1668,1204,0,0,1059,0,110,0,1
9237,907,9,9,10695,1,92,0,0
6629,360,14,15,10022,0,104,0,0
1844,3074,26,27,1832,0,131,1,0
3143,727,1,1,3160,0,56,1,1
2713,620,1,1,2706,2,114,0,1
9957,339,10,10,11216,1,75,1,0
10762,491,9,9,24,1,77,2,0
16989,334,24,25,17006,0,130,1,0
7947,219,20,21,15607,0,164,1,0
5878,343,4,4,2571,0,45,1,0
3732,841,5,5,6703,0,64,1,0
1224,841,0,0,1214,0,69,1,0
8272,2244,17,18,11571,1,41,1,0
6818,1706,14,15,12392,0,56,1,0
9971,1188,24,25,2909,0,96,1,0
8205,1065,17,18,14391,0,55,0,0
14709,2476,18,19,10307,0,78,1,1
128,2765,18,19,3282,0,30,0,0
4090,1193,5,5,1018,0,112,0,0
11561,27,11,11,9597,0,172,1,0
6538,2554,5,5,6696,1,90,1,0
583,769,26,27,153,0,110,0,0
313,1561,4,4,6336,2,76,0,1
85,637,28,29,7051,2,96,0,1
4429,1032,5,5,4443,1,141,0,1
10977,1301,17,18,11195,1,64,1,0
7877,1249,6,6,6846,2,35,1,5
7844,1029,6,6,2328,1,136,1,10
15320,1522,25,26,15786,0,32,1,0
6617,1550,26,27,2481,0,177,1,0
6102,2291,4,4,6206,1,179,1,0
14773,3049,21,22,7478,0,145,1,0
6224,342,4,4,6339,1,13,1,1
3351,963,19,20,4421,0,183,1,0
3124,219,27,28,17798,0,52,0,0
1290,567,25,26,11542,1,115,0,0
4773,140,29,30,5613,1,91,1,0
5670,18,4,4,4084,0,136,1,1
10783,2518,9,9,5501,1,72,1,1
11771,257,15,16,7688,1,135,1,0
5393,2248,3,3,5441,0,13,1,0
6537,1145,5,5,6695,0,153,1,0
13438,1607,16,17,2233,0,6,1,1
3019,885,24,25,16912,1,124,0,5
4239,1348,25,26,3690,1,79,0,1
6306,1065,25,26,8157,1,65,1,0
14347,661,17,18,24,1,114,2,0
13131,1343,20,21,10868,0,140,0,1
16220,3119,24,25,3048,0,56,1,0
6177,907,4,4,6284,0,57,1,0
11805,1218,12,13,12081,1,121,1,0
468,422,0,0,450,0,39,0,0
1346,402,7,7,6526,0,76,1,0
3073,255,12,13,9351,0,46,0,0
8278,586,12,13,12069,1,70,0,0
5557,2709,7,7,733,0,5,1,0
8990,2397,7,7,9354,0,70,0,0
14222,2124,17,18,2290,0,21,0,1
13486,264,16,17,13585,1,46,0,0
952,179,24,25,16964,0,154,0,0
1258,727,12,13,3271,0,105,0,0
3517,1905,2,2,3531,1,95,1,1
2711,8,26,27,2703,1,118,1,0
9410,96,13,14,7102,2,110,0,0
14748,1066,18,19,4098,0,25,1,0
80,2587,17,18,14212,0,8,0,0
11655,2464,11,11,11890,1,17,1,1
11407,1700,20,21,4570,1,152,1,0
13043,513,16,17,13646,1,16,1,1
3834,1643,16,18,5524,0,69,0,1
183,632,28,30,3147,1,177,0,1
16951,200,24,25,9410,0,112,0,1
4485,2744,11,11,5707,1,127,0,1
12959,2849,23,24,13175,1,60,1,0
2517,1123,3,3,2519,0,20,1,0
13227,1032,15,16,13391,0,160,1,0
18506,3103,29,30,18276,2,172,1,1
9306,799,7,7,9668,1,157,0,0
16470,2114,23,24,24,1,136,2,1
9876,861,20,21,10121,0,121,0,0
2532,132,4,4,2533,0,42,0,0
14699,2763,18,19,14762,0,43,0,0
6257,134,25,26,3659,0,166,1,0
4538,2979,26,27,4561,1,144,0,1
3954,2401,26,27,5879,1,24,0,0
11044,762,19,20,15079,0,66,1,0
209,204,0,0,201,1,117,1,0
3404,571,2,2,3426,1,115,1,0
126,1974,13,14,6685,1,101,0,1
9705,1133,24,25,2985,1,99,0,0
5787,3141,19,20,5859,0,12,0,0
16768,2270,24,25,13095,0,51,1,0
6361,890,25,26,1222,1,30,0,1
5629,1909,4,4,4993,0,32,1,1
8960,2867,7,7,4682,0,92,1,1
8649,2097,7,7,4449,0,116,1,0
6320,3187,27,28,17736,0,24,0,1
9507,366,29,30,897,0,74,0,0
2773,2689,10,10,3843,0,13,0,0
4379,1087,3,3,4389,1,44,0,0
15520,1851,20,21,24,2,116,2,1
1860,1291,0,0,106,0,42,0,0
5585,2941,26,27,2229,0,142,1,0
11141,1887,20,21,83,0,48,0,0
13236,880,15,16,11533,0,154,1,0
2206,1627,4,4,6312,1,143,1,0
1744,2172,3,3,1733,1,13,1,0
658,2583,22,23,13943,0,98,1,0
4926,2036,5,5,6730,2,76,0,1
6542,2419,10,10,11416,0,91,1,0
9322,2313,25,26,6209,0,184,0,0
2544,3047,12,13,1881,0,21,0,1
5126,1429,28,29,5168,0,147,0,0
10928,1533,10,10,4990,0,94,0,0
1297,999,0,0,1286,0,110,0,0
7033,2547,5,5,7231,1,92,1,0
6296,1872,7,7,5866,0,4,1,0
5362,1295,6,6,4003,0,104,1,0
586,2853,12,13,7482,0,81,1,0
4220,2055,17,18,2542,0,47,1,0
5307,641,15,16,1491,0,0,1,1
4323,681,27,28,3934,1,25,1,1
17097,2607,25,26,24,0,91,2,0
12236,391,14,15,8766,1,152,1,0
10909,1384,20,21,15349,1,186,0,1
7483,478,11,11,11719,1,178,1,1
3664,237,2,2,3664,0,102,1,0
1909,376,1,1,1899,0,12,0,0
7423,255,5,5,7689,1,62,1,0
4506,665,26,27,832,0,31,0,0
13791,1182,16,17,2793,0,159,1,0
12508,1832,13,15,24,2,94,2,18
1240,262,21,22,13085,1,110,0,0
118,3137,23,24,1128,0,158,1,0
15742,855,21,22,3707,0,114,0,0
5331,2721,28,29,18258,1,103,1,0
4522,2871,16,17,13756,1,44,1,0
1723,2340,18,19,14691,0,170,1,0
1484,637,0,0,1472,2,97,0,1
10661,1027,9,9,4072,1,70,0,1
12717,1337,14,15,9975,0,149,0,0
8991,818,28,29,4084,0,136,1,1
2880,246,22,23,10197,1,66,1,1
2852,599,16,17,6267,0,96,0,1
7025,2752,13,14,4232,0,92,0,0
2286,2617,20,21,1993,0,40,0,0
11273,1324,10,10,11515,0,49,1,0
948,682,26,27,927,0,62,1,0
18423,1339,29,30,1644,0,71,1,1
12910,2457,27,28,13785,1,73,0,1
8988,561,9,9,11013,1,158,0,1
9201,1542,13,14,4408,0,105,0,0
2281,2060,13,14,740,1,13,1,1
9140,519,7,7,9504,0,0,0,0
17986,1748,28,29,3955,0,46,1,0
11468,2923,11,11,4265,0,119,1,0
4904,725,3,3,4955,0,121,1,0
5135,1309,3,3,5177,0,182,0,0
3583,489,13,14,3072,0,36,0,0
3730,2643,9,9,11017,2,177,1,1
13104,1956,20,21,14416,0,109,0,0
17522,2128,26,27,17561,1,30,1,0
3153,481,1,1,1568,1,20,0,0
4274,185,14,15,5885,0,107,1,1
5536,469,17,18,13898,1,123,1,0
3587,1879,2,2,3417,0,6,0,0
14676,2588,20,21,9461,0,90,0,1
11199,2563,10,10,11433,2,17,0,4
4587,463,3,3,4608,0,39,0,0
13209,1132,17,18,13381,0,116,0,0
11613,769,11,11,2665,0,115,0,0
13104,204,27,28,17729,0,29,0,0
10382,920,12,13,2669,0,112,0,0
7706,68,9,9,10505,0,64,0,0
7920,3171,24,25,16943,0,169,0,0
12201,907,17,18,10135,0,177,1,0
4013,711,23,24,2710,0,158,0,0
2059,2949,10,10,662,0,140,1,0
5742,1698,7,7,9598,0,25,0,0
6687,1123,26,27,17612,1,90,0,1
17477,2908,26,27,10462,1,44,0,1
13619,661,25,26,9716,1,170,0,0
1628,1165,7,7,1617,0,183,0,0
426,389,0,0,408,0,32,0,0
7951,2490,20,21,15009,0,12,1,0
4364,872,6,6,8919,1,180,1,0
13184,483,23,24,8858,1,64,0,0
8991,1676,24,25,287,0,136,0,1
4853,255,15,16,13431,0,74,1,1
9682,588,8,8,10029,0,12,1,1
1366,467,6,6,8516,1,135,1,0
6153,2269,10,10,6261,0,78,0,1
119,260,25,26,4117,0,148,1,0
1893,2166,8,8,1884,0,105,0,0
10166,1549,9,9,6092,0,64,0,1
7774,2539,6,6,8047,0,49,1,0
108,107,0,0,107,1,81,1,0
1672,441,4,4,1663,0,152,0,0
9873,2820,8,8,10185,0,159,0,0
15507,2139,20,21,4795,0,152,0,0
14967,3034,19,20,9936,0,133,1,0
1892,172,25,26,17116,1,57,1,0
8360,2216,6,6,8683,0,27,0,0
6709,3107,24,25,16596,0,130,1,0
6423,2177,4,4,6564,2,10,0,1
3282,1041,2,2,2695,1,11,0,1
9980,2217,9,9,5884,1,180,0,1
10045,2183,29,30,18600,1,30,1,1
1347,1030,0,0,1338,0,1,1,0
224,1502,24,25,7345,1,142,0,1
2590,1320,4,4,24,0,95,2,0
3850,3018,28,29,18365,1,138,1,0
2042,3137,22,23,2030,1,178,1,0
10103,2877,26,27,16741,1,74,0,1
2534,544,1,1,2535,1,40,0,0
8393,733,27,28,7741,0,55,1,0
11712,470,25,26,10910,0,136,0,1
2909,1827,16,17,1342,0,79,1,1
4926,2534,26,27,4762,1,159,0,1
2516,1213,15,16,1943,0,1,1,0
3378,754,20,21,3508,0,53,0,0
12173,1995,13,14,8236,0,84,1,0
12230,2740,20,21,12545,1,156,1,0
5178,2174,6,6,7931,1,139,1,0
6260,1184,10,10,11226,1,62,1,0
8784,1318,7,7,9162,1,104,0,0
2137,1412,1,1,2132,0,46,0,0
4355,187,3,3,4367,0,43,0,0
7502,1607,5,5,7772,1,76,1,0
670,474,11,11,11960,1,13,1,0
15194,3124,20,21,12616,0,134,1,0
763,187,17,18,1058,1,35,0,1
7049,147,5,5,7247,0,116,1,0
4932,1566,20,21,1896,0,80,0,0
5184,1358,20,21,15116,0,156,0,0
12319,2303,13,14,4062,0,29,1,0
1299,191,3,3,4851,2,76,1,1
2277,1362,6,6,258,0,78,0,0
10060,817,15,16,13469,0,90,1,1
9303,2481,29,30,10014,0,53,0,0
325,2015,28,29,16860,0,10,0,0
15308,353,20,21,13675,1,157,0,1
18335,130,29,30,24,1,76,2,1
10189,858,13,14,12641,1,65,1,0
2733,1393,10,10,11521,0,115,1,0
16755,123,24,25,12904,0,131,0,1
14004,267,17,18,3937,0,115,1,0
10037,160,8,8,10321,0,148,1,0
11508,390,18,19,1567,1,58,1,1
6096,745,18,19,5816,0,156,1,0
1086,3163,21,22,15826,1,107,1,0
4254,786,2,2,4268,0,75,0,1
12957,462,14,15,920,0,127,1,0
4113,384,27,28,17629,0,36,1,0
11065,622,10,10,4735,0,119,1,0
3820,1305,28,29,18343,0,63,0,0
10298,140,13,14,12597,1,78,1,1
14933,2139,19,20,15005,1,153,1,1
12890,1341,14,15,4805,1,112,0,0
7895,866,26,27,1243,0,126,1,1
90,1040,20,21,89,0,46,0,0
3139,218,8,8,10132,0,94,1,1
7753,1167,20,21,12491,1,19,0,0
6873,704,5,5,1768,0,102,1,0
8422,3025,16,17,3263,0,115,0,1
2413,2369,19,20,8632,1,111,0,0
12729,2646,14,15,3399,0,62,0,0
16079,1858,23,24,14341,0,177,1,0
8221,1092,10,10,8249,0,59,0,0
15338,1023,20,21,3511,0,62,1,0
955,1294,26,27,935,0,23,0,0
14138,527,17,18,6393,0,23,0,0
7596,1109,16,17,3880,1,33,1,3
6158,1611,18,19,2162,0,74,1,0
5208,52,3,3,4375,2,126,0,1
8353,271,15,16,5910,0,93,1,0
13833,9,24,25,1063,0,105,0,0
5011,2155,6,6,3533,0,116,1,0
8583,2074,6,6,2999,0,59,0,0
6596,2191,7,7,6757,0,110,1,0
15409,3011,20,21,655,0,73,0,0
7370,2062,5,5,7618,0,85,0,1
9062,656,10,10,11557,1,114,0,1
559,1600,5,5,2223,0,25,1,0
17022,2809,25,26,1357,0,90,1,0
8717,1454,7,7,4408,0,105,0,1
6255,762,5,5,7524,2,5,0,4
8884,173,12,13,9255,0,161,0,1
3339,530,7,7,3361,0,180,0,0
9524,1792,25,26,4717,0,110,0,0
16974,3092,27,28,24,2,183,2,17
15313,2880,23,24,3422,1,13,0,1
1173,2113,14,15,8054,0,85,1,0
16530,2000,23,24,12418,0,84,1,0
10242,2062,9,9,10639,1,66,1,1
2155,1917,2,2,24,2,69,2,3
910,2715,20,21,1894,1,110,0,0
640,552,24,25,1585,1,21,0,0
6031,2075,4,5,24,0,21,2,11
6412,1521,6,6,4837,0,119,1,1
6550,1182,12,13,8801,1,29,0,0
12038,904,18,19,3242,0,173,0,0
395,18,19,20,15002,0,143,1,0
845,410,0,0,824,1,101,0,0
6057,2674,25,26,5514,0,51,0,0
91,1988,3,3,4896,1,120,1,0
6698,2208,29,30,8713,0,24,1,0
13332,2652,15,16,13489,1,19,0,1
5319,187,20,22,842,1,83,1,13
1339,2287,3,3,1328,1,112,0,0
442,1732,9,9,1994,0,79,1,0
5829,2407,11,11,7533,2,105,0,0
3547,514,26,27,2229,0,142,1,0
2616,2226,7,7,3658,1,111,1,0
1936,1319,1,1,2951,1,47,0,0
2454,1203,3,3,5103,0,19,1,1
3240,409,9,9,6871,0,88,0,0
383,531,6,6,8475,1,27,1,0
4011,2504,4,4,6370,2,88,1,4
4178,543,8,8,4441,1,70,0,1
8378,1528,26,27,17565,1,107,1,0
11058,1607,10,10,6009,0,157,0,0
5075,2161,3,3,2309,0,35,0,0
16780,1548,24,25,6979,1,88,1,0
8904,257,23,24,7104,0,112,0,0
11826,414,19,20,10037,1,67,1,0
3655,1746,10,10,11276,1,45,0,0
5943,342,7,7,1528,0,83,0,0
15053,1568,19,20,11498,1,31,1,0
6116,1846,4,4,6218,0,184,0,0
6074,1673,8,8,6172,0,10,0,1
1096,1146,23,24,3102,0,165,1,0
10920,1130,19,20,5573,0,11,1,0
15874,648,22,23,4855,1,49,0,1
6898,9,17,18,2211,0,70,0,0
8509,2750,23,24,3161,0,95,1,1
620,732,27,28,13579,0,163,1,0
2888,1667,16,17,2330,0,168,1,0
17462,726,26,27,7912,0,137,1,1
12947,2961,14,15,13162,2,53,1,1
16326,159,23,24,14998,0,63,0,0
1739,2270,6,6,8947,0,111,1,0
5268,1381,24,25,5318,0,161,1,0
3777,1464,17,18,24,1,62,2,1
7009,2302,28,29,2971,0,16,1,0
6629,359,5,5,6793,0,51,1,0
3698,432,11,11,10284,2,184,1,0
16212,1816,23,24,16304,0,79,0,0
1683,368,10,10,1674,0,49,1,0
6208,1126,18,19,2521,0,10,1,0
18612,323,29,30,14859,0,84,0,0
4474,2474,4,4,4497,0,139,0,0
5233,1376,19,20,5286,2,117,1,0
4832,337,7,7,9784,0,51,1,0
8743,1833,7,7,9127,0,49,0,0
9,2041,27,28,13557,0,95,0,0
6877,70,5,5,7067,0,10,0,0
2905,498,1,1,2901,1,79,0,0
5889,2360,20,21,9319,0,55,1,0
4274,3016,28,29,5885,1,107,1,0
11239,2322,10,10,11478,0,137,0,0
15803,2326,22,23,5549,0,16,1,1
1620,984,19,20,14471,1,53,1,1
990,2611,27,28,1725,1,80,0,1
4135,3072,29,30,4937,0,49,1,0
18082,2596,28,29,4962,0,19,1,0
1047,58,22,23,9495,0,94,1,0
948,2457,7,7,9294,0,62,1,0
9034,2295,7,7,1468,0,30,1,0
2923,607,19,20,8747,0,80,1,0
11546,2969,11,11,6243,0,71,1,0
4401,511,26,27,4583,1,116,0,1
5434,2966,10,10,5488,1,87,0,1
13619,962,16,17,13708,1,61,1,1
18262,2519,28,29,13253,0,86,1,0
4926,1260,26,27,9815,0,57,1,0
295,2292,18,19,10406,0,36,0,0
11348,1270,13,14,2152,2,147,0,1
360,1719,25,26,5739,0,31,0,0
3029,1040,10,10,2922,0,72,1,0
4598,162,4,4,5506,0,19,0,0
4085,2558,29,30,12604,0,36,1,1
7062,2218,5,5,3813,0,56,1,0
1983,896,12,13,4405,0,2,0,0
3480,1504,18,19,2918,0,176,0,3
6227,2187,26,27,1872,0,144,1,0
4807,854,3,3,4855,0,143,1,0
3454,497,2,2,3754,0,56,1,0
14243,2628,17,18,172,0,104,1,1
3634,2368,4,4,6062,0,179,1,0
4367,1794,14,15,8447,0,49,0,0
465,615,0,0,682,1,52,0,0
6315,2373,29,30,18637,1,13,0,0
763,2204,21,22,740,1,13,1,0
5382,2282,3,3,4748,0,79,1,0
4085,413,7,7,8434,0,16,0,0
11902,2473,12,13,794,1,104,0,0
1608,469,0,0,1598,0,137,1,0
233,2871,19,20,6405,0,42,0,1
4164,1566,7,7,9659,1,55,0,0
11147,55,28,29,4175,0,50,0,1
6045,295,28,29,9726,1,126,0,1
828,824,10,10,1384,1,29,1,0
14656,1230,26,27,9245,0,148,1,0
1980,53,7,7,6173,1,77,1,0
10846,125,10,10,11048,1,125,0,0
6026,1716,17,18,12558,0,152,0,0
6250,493,4,4,4997,1,14,1,0
347,466,11,11,11884,1,1,1,0
5302,1491,15,16,160,0,104,1,0
16080,1406,23,24,3966,1,56,1,1
1133,368,19,20,12024,0,92,1,0
5680,942,10,10,5747,0,28,1,0
3328,2416,4,4,5886,0,35,0,0
13835,1740,17,18,13900,0,134,0,0
10989,1048,10,10,11208,0,69,1,0
16868,1534,24,26,5126,2,113,1,17
9284,518,7,7,9644,0,161,1,0
54,54,0,0,54,0,29,1,0
4397,2069,3,3,1594,0,130,1,0
10752,2589,21,22,631,0,57,0,0
3930,1398,2,2,1672,0,126,1,0
4568,2235,3,3,4586,0,8,1,0
15298,995,20,21,15398,1,115,1,0
3125,1082,23,24,5100,0,26,0,0
921,107,0,0,895,0,70,0,0
9188,978,7,7,9542,0,78,1,0
2604,973,1,1,2609,0,58,1,0
17901,1477,28,29,213,1,110,0,0
5354,1070,17,18,6588,0,165,1,0
17240,973,25,26,5767,1,35,0,1
10414,812,19,20,1768,0,102,1,0
196,886,0,0,2092,0,87,0,0
15879,1297,23,24,14082,2,182,1,1
2966,1279,1,1,2970,0,177,1,0
8894,2510,12,13,9262,0,73,0,0
6378,2524,4,4,6513,2,131,0,0
14251,2251,23,24,16150,0,73,0,0
17241,101,28,29,7493,0,95,0,0
11646,1155,13,14,12610,1,159,0,1
1421,1076,0,0,1411,2,101,0,1
448,93,0,0,1851,0,97,0,0
8744,2073,7,7,7215,0,15,0,0
12,3009,18,19,14726,0,73,1,0
2897,283,9,9,10213,0,96,1,0
5466,297,23,24,5902,0,129,1,0
16945,2564,25,26,17081,1,6,0,1
6945,1975,9,9,9407,0,178,1,0
1699,2021,24,25,13099,1,81,0,0
895,749,0,0,870,1,131,1,1
715,121,12,13,134,0,94,1,0
13610,2062,16,17,1390,2,119,1,1
18142,2111,28,29,18224,2,154,1,1
2745,2157,22,23,6085,1,16,0,0
2864,956,1,1,2863,0,122,1,0
86,85,0,0,85,0,67,1,0
3839,2739,11,11,10019,1,12,0,0
7953,931,6,6,8245,0,163,1,0
1903,1639,29,30,10938,1,178,1,0
1503,507,14,15,3198,0,145,1,0
1100,888,0,0,1084,1,37,0,0
2010,2365,3,3,4409,0,115,1,0
17017,1147,25,26,944,0,179,1,0
9246,2214,7,7,2678,0,21,0,1
4010,915,12,13,12112,0,95,1,0
17200,783,25,26,1480,0,20,1,0
2999,2692,17,18,6201,0,57,1,0
2019,708,24,25,8457,1,122,1,0
5687,409,18,19,14786,0,55,0,0
4904,1159,6,6,4955,0,121,1,0
6618,2825,19,20,15004,1,122,1,1
3819,2832,9,9,7440,2,79,0,1
3012,290,7,7,7074,0,56,1,1
8196,2038,14,15,24,2,186,2,0
12233,2546,22,23,12340,1,40,0,0
8840,2434,27,28,9215,0,49,0,0
5521,1495,18,19,14481,0,57,0,0
4749,1744,3,3,4789,0,12,1,0
5730,2646,14,15,12919,1,71,0,1
1173,2747,26,27,5270,0,159,1,0
6088,1005,27,28,15689,1,15,0,0
16199,2085,23,24,16367,1,91,0,0
4396,2314,18,19,5591,0,56,0,1
551,490,0,0,529,1,166,1,0
7427,1047,24,25,5549,0,36,0,0
3318,1073,3,3,5329,1,120,1,0
14758,708,21,22,1961,1,105,0,0
1629,1534,17,18,1618,1,183,0,0
6246,643,20,21,14997,1,73,1,0
17885,1300,28,29,1068,1,64,1,0
3851,752,2,2,780,0,39,0,0
3056,2597,18,19,356,1,145,0,0
1648,346,13,14,12556,1,114,0,1
4412,3040,21,22,24,0,29,2,3
5986,1901,18,19,6063,0,115,0,0
14755,815,20,21,3373,0,115,1,0
13650,1317,16,17,9616,0,159,0,0
6540,806,7,7,2377,0,115,1,1
1258,920,7,7,1247,1,18,0,1
8374,849,18,19,8700,1,113,0,0
7375,540,23,24,16530,1,137,1,0
16303,760,23,24,4507,2,159,1,1
1194,48,2,2,3969,0,61,1,0
4527,778,4,4,6081,0,133,1,0
17858,363,28,29,10134,0,42,1,0
9363,1600,14,15,13185,1,78,0,0
12159,22,29,30,10940,0,12,0,0
7552,154,5,5,7826,0,113,0,0
1133,379,23,24,3500,0,47,1,0
7953,465,19,20,8245,0,163,1,0
133,294,13,14,12692,1,37,1,0
11695,707,11,11,536,1,0,0,0
2849,1684,1,1,2847,1,144,0,0
4646,2344,11,11,9519,0,96,1,0
13788,297,26,27,157,0,13,1,0
396,1056,4,4,3805,0,19,0,0
6400,1201,13,14,6543,0,169,1,0
4446,2017,3,3,572,0,77,1,0
6218,3143,22,23,16127,0,82,1,0
17699,571,27,28,1476,0,83,1,0
7277,2668,5,5,7518,0,78,1,0
15344,1689,20,21,1629,0,114,0,0
9641,674,12,13,12296,1,94,0,0
7968,478,6,6,8090,1,10,0,1
3080,1287,22,23,15978,2,56,1,1
2388,1433,1,1,24,2,106,2,1
12205,1458,12,13,1961,2,95,1,1
595,2254,14,15,575,0,133,0,0
12041,1602,15,16,1745,0,10,0,0
6234,746,10,10,460,0,116,1,0
7273,2364,5,5,7514,0,47,1,0
715,1133,19,20,134,0,94,1,0
6406,1063,20,21,4328,0,168,0,0
17208,2875,25,26,3052,2,152,1,0
3335,1124,4,4,1610,0,80,1,0
7800,1220,16,17,3186,0,36,0,0
15,2483,20,21,11517,0,72,0,0
3629,1133,20,21,9489,0,179,1,0
6289,1500,27,28,17872,1,56,0,0
417,1154,2,2,4056,1,69,0,0
3042,1460,22,23,567,0,119,1,0
3032,2632,10,10,8651,2,177,0,1
4425,153,6,6,6722,0,144,0,0
14225,1343,17,18,281,0,135,1,0
5435,1036,28,29,9938,0,97,1,0
16812,203,28,29,18309,1,117,1,1
1095,885,0,0,24,1,16,2,1
4797,1823,24,25,14159,1,26,1,0
13859,411,20,21,13411,0,113,0,0
404,61,29,30,6311,1,79,0,0
1065,884,20,21,9404,1,132,1,0
4206,216,17,18,7016,0,19,1,0
4232,519,25,26,6591,1,13,1,0
249,242,0,0,240,1,89,0,0
5244,1089,10,10,794,1,29,1,0
6039,1771,25,26,14895,2,164,1,1
9191,658,29,30,14060,0,182,0,1
3663,656,2,2,3663,0,127,1,0
15845,1287,22,23,6008,0,72,1,0
5751,1653,10,10,5154,0,22,1,0
13173,813,15,16,10413,0,170,0,1
9470,55,8,8,9842,0,20,1,0
6606,1979,25,26,6062,1,179,1,0
11859,15,22,23,16108,1,122,1,0
13494,1684,24,25,13005,0,82,0,0
5889,1511,21,22,14741,0,23,0,1
6328,1560,22,23,6455,0,126,0,0
2870,179,10,10,11552,1,183,0,0
3261,1831,1,1,3287,1,147,0,1
3013,1847,23,24,16362,0,91,1,0
2523,1528,1,1,24,1,112,2,1
16024,2858,23,24,14777,0,6,1,0
14498,2957,18,19,5857,0,24,1,0
1664,1662,4,4,359,0,20,1,0
5289,247,28,29,3522,0,67,0,0
8616,676,6,6,699,0,1,1,0
4474,836,27,28,4497,0,139,0,0
4487,1217,12,13,12424,1,67,1,0
13152,1579,15,16,674,1,124,1,0
731,226,3,3,710,1,111,0,1
1520,107,11,11,9711,0,20,1,0
8564,105,14,15,13186,0,147,0,0
6419,932,17,18,14388,0,140,1,0
5924,2423,29,30,16999,1,36,0,1
7286,1762,12,13,6892,0,97,0,1
4648,1956,20,21,4678,1,112,0,0
11592,2214,11,11,5908,0,73,0,0
7246,3136,20,21,7484,0,133,1,0
6190,2590,10,10,6297,1,121,0,0
10106,1329,13,14,11357,1,159,0,1
13428,560,16,17,488,0,104,0,0
1519,429,1,1,2526,1,5,0,1
15425,783,20,21,10054,1,140,1,1
7380,483,10,10,9591,0,48,0,1
6023,1402,27,28,9241,0,72,1,0
5207,480,9,9,3364,0,61,0,0
1130,908,0,0,1117,0,91,0,0
7558,2519,6,6,8243,0,139,0,0
2831,2242,23,24,1664,0,36,0,0
12188,49,12,13,12512,0,77,1,0
6434,2758,6,6,8328,0,166,1,0
2518,2992,27,28,6701,0,28,0,0
11023,2419,24,25,16924,0,55,1,0
5551,2411,5,5,7061,0,6,0,0
6338,2250,5,5,7655,0,148,1,0
5342,535,21,23,7020,0,126,1,14
1145,1704,7,7,604,0,3,0,1
12782,1536,23,24,3885,0,183,0,0
15930,1900,22,23,136,1,95,1,0
10735,2094,9,9,382,0,127,1,0
8918,82,7,7,4025,0,64,1,0
3649,1245,6,6,8840,0,45,1,0
16198,1110,23,24,1580,0,84,0,0
17385,1567,27,28,11204,0,163,1,0
18284,2221,28,29,12235,0,123,1,0
9440,3137,26,27,8128,0,55,1,1
5551,1284,26,27,2450,0,7,1,0
3968,254,8,8,1596,0,18,0,0
17554,1420,26,27,4075,1,110,1,0
2151,1359,8,8,10367,1,184,1,0
4215,1355,4,4,5928,0,76,1,0
4295,272,18,19,4696,1,29,0,0
1559,1154,0,0,703,2,140,1,1
361,2133,26,27,346,0,82,0,0
3122,1242,24,25,8121,1,74,1,1
12410,1111,13,14,7160,2,5,1,0
2625,970,1,1,2628,0,6,1,0
10112,237,14,15,10323,0,168,0,0
8718,123,18,19,5422,0,31,0,0
8366,373,21,22,2969,0,141,0,0
11139,1605,10,10,5213,0,118,0,0
11969,452,26,27,11159,0,169,1,0
7144,770,19,20,14969,1,100,0,1
11699,2707,11,11,11362,0,28,1,1
10529,2905,13,14,8315,1,62,0,0
218,1463,11,11,11939,0,113,0,1
15562,2292,20,21,15670,0,130,0,0
1458,1006,0,0,1446,0,133,1,0
2544,2343,3,3,1881,1,21,0,1
1134,332,24,25,10084,1,30,0,0
14154,358,17,18,5984,0,7,1,1
1315,2265,7,7,9601,0,30,1,0
683,375,0,0,663,0,52,1,1
9917,290,8,8,1408,0,70,0,0
7963,2660,12,13,448,0,102,1,0
